logo_path,name,link,status,usd_raised,month,year,token_sale_price,current_token_price,token_return,roi,erc20,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786521/air_platform_dhhkhh.png,Air platform,http://www.sphre.co/cs/downloads/Air_Platform_Whitepaper.pdf,Completed,5109781,17-Jun,2017,0.2,0.16,0.81x,RED,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786500/dcorp_wdnshl.png,DCORP,https://github.com/frankbonnet/DCORP-Whitepaper/blob/master/whitepaper%20v0.3.2_EN-revised.pdf,Completed,5048937,17-Jun,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786475/starta_w7felc.png,Starta,https://startaico.com/,Completed,5033960,17-Jul,2017,1,0.69,0.68x,RED,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786455/dimcoin_ar92ob.png,Dimcoin,https://www.dimcoin.io/DIMCOIN-whitepaper-V12.pdf,Completed,5033685,17-Jul,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786438/wetrust_ackmzk.png,WeTrust,https://github.com/WeTrustPlatform/documents/blob/master/WeTrustWhitePaper.pdf,Completed,5000000,17-Apr,2017,0.06,0.14,2.20x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786418/mothership_x2lezg.png,Mothership,https://mothership.cx/documents/whitepaper.pdf,Completed,4819379,17-Jul,2017,0.03,0.06,1.85x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786399/synereo_puriqo.png,Synereo,https://docs.google.com/document/d/1xmRvAjJEQ72-sR9luS34TG0BOpPn_6ztZjYBFCByKxo/edit,Completed,4700000,16-Oct,2016,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786382/ecobit_xa8aoy.png,Ecobit,http://www.ecobit.io/technology.html,Completed,4500000,17-Jun,2017,0.01,0.03,3.37x,GREEN,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501786363/dent_kqux8t.png,Dent,https://www.dentcoin.com/whitepaper,Completed,4386168,17-Jul,2017,,,,BLUE,FALSE,
http://res.cloudinary.com/dbyoymbpd/image/upload/v1501647455/quantum_resistant_ledger_znx9z2.png,Quantum Resistant Ledger,https://github.com/theQRL/QRL/blob/master/QRL_whitepaper.pdf,Completed,4160000,17-May,2017,0.11,0.33,3.06x,GREEN,FALSE,
